Ticker,Date,Surprise,Year,Month,Day,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
HOG,20161018,-60.68796069,2016,9,18,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee; Wisconsin,793952
HOLX,20160727,5.633802817,2016,6,27,Hologic,Health Care,Health Care Equipment,Marlborough; Massachusetts,859737
HP,20160728,-39.39393939,2016,6,28,Helmerich & Payne,Energy,Oil & Gas Drilling,Tulsa; Oklahoma[5],46765
HPE,20160907,425.8964143,2016,8,7,Hewlett Packard Enterprise,Information Technology,Technology Hardware; Storage & Peripherals,Palo Alto; California,1645590
HPQ,20160824,22.5,2016,7,24,HP Inc.,Information Technology,Technology Hardware; Storage & Peripherals,Palo Alto; California,47217
HRB,20160303,-109.6045198,2016,2,3,Block H&R,Financials,Consumer Finance,Kansas City; Missouri,12659
HRL,20160818,-10.44776119,2016,7,18,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,Austin; Minnesota,48465
HRS,20160503,-12.08791209,2016,4,3,Harris Corporation,Information Technology,Communications Equipment,Melbourne; Florida,202058
HSIC,20161102,2.322661645,2016,10,2,Henry Schein,Health Care,Health Care Distributors,Melville; New York,1000228
HST,20161102,-53.33333333,2016,10,2,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Bethesda; Maryland,1070750
HSY,20161028,-12.29045643,2016,9,28,The Hershey Company,Consumer Staples,Packaged Foods & Meats,Hershey; Pennsylvania,47111
HUM,20161104,31.97519929,2016,10,4,Humana Inc.,Health Care,Managed Health Care,Louisville; Kentucky,49071
IBM,20161017,-2.295081967,2016,9,17,International Business Machines,Information Technology,IT Consulting & Other Services,Armonk; New York,51143
ICE,20161101,-15.00742942,2016,10,1,Intercontinental Exchange,Financials,Financial Exchanges & Data,Atlanta; Georgia,1571949
IDXX,20161101,3.678929766,2016,10,1,IDEXX Laboratories,Health Care,Health Care Equipment,Westbrook; Maine,874716
IFF,20161107,-26.55737705,2016,10,7,Intl Flavors & Fragrances,Materials,Specialty Chemicals,New York; New York,51253
ILMN,20161101,4.567307692,2016,10,1,Illumina Inc,Health Care,Life Sciences Tools & Services,San Diego; California,1110803
INCY,20161101,-65.88868941,2016,10,1,Incyte,Health Care,Biotechnology,Wilmington; Delaware,879169
INTC,20161018,18.15068493,2016,9,18,Intel Corp.,Information Technology,Semiconductors,Santa Clara; California,50863
INTU,20160524,-10.3410341,2016,4,24,Intuit Inc.,Information Technology,Internet Software & Services,Mountain View; California,896878
IP,20161027,-12.17798595,2016,9,27,International Paper,Materials,Paper Packaging,Memphis; Tennessee,51434
IPG,20161021,700,2016,9,21,Interpublic Group,Consumer Discretionary,Advertising,New York; New York,51644
IR,20161026,145.1499118,2016,9,26,Ingersoll-Rand PLC,Industrials,Industrial Machinery,Dublin; Ireland,1466258
IRM,20161101,-92.09486166,2016,10,1,Iron Mountain Incorporated,Real Estate,Specialized REITs,Boston; Massachusetts,1020569
ISRG,20161018,3.549141966,2016,9,18,Intuitive Surgical Inc.,Health Care,Health Care Equipment,Sunnyvale; California,1035267
ITW,20161020,2.389078498,2016,9,20,Illinois Tool Works,Industrials,Industrial Machinery,Glenview; Illinois,49826
IVZ,20161027,-4.918032787,2016,9,27,Invesco Ltd.,Financials,Asset Management & Custody Banks,Atlanta; Georgia,914208
JBHT,20161017,-6.730769231,2016,9,17,J. B. Hunt Transport Services,Industrials,Trucking,Lowell; Arkansas,728535
JEC,20160809,-25.97402597,2016,7,9,Jacobs Engineering Group,Industrials,Construction & Engineering,Pasadena; California,52988
JNJ,20161018,-15.46961326,2016,9,18,Johnson & Johnson,Health Care,Health Care Equipment,New Brunswick; New Jersey,200406
JNPR,20161025,43.31210191,2016,9,25,Juniper Networks,Information Technology,Communications Equipment,Sunnyvale; California,1043604
JPM,20161014,-0.12642225,2016,9,14,JPMorgan Chase & Co.,Financials,Diversified Banks,New York; New York,19617
JWN,20151112,-50.76201641,2015,10,12,Nordstrom,Consumer Discretionary,Department Stores,Seattle; Washington,72333
K,20161101,-20.77294686,2016,10,1,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,Battle Creek; Michigan,55067
KEY,20161025,-29.5154185,2016,9,25,KeyCorp,Financials,Regional Banks,Cleveland; Ohio,91576
